TransactionID,CustomerID,ProductID,FechaCompra,Cantidad,MontoTotal,MedioPago
TXN-02650,CLI-0072,PRD-015,2024-04-19,2.0,799.98,Tarjeta Crédito
TXN-01475,CLI-0019,PRD-004,2024-04-19,5.0,449.95,Transferencia
TXN-01465,CLI-0164,PRD-007,2024-04-19,3.0,179.97,Transferencia
TXN-01786,CLI-0120,PRD-007,2024-04-19,2.0,119.98,PayPal
TXN-00562,CLI-0020,PRD-007,2024-04-19,4.0,239.96,Tarjeta Crédito
TXN-01351,CLI-0082,PRD-008,2024-04-19,3.0,119.97,Tarjeta Crédito
TXN-02433,CLI-0044,PRD-011,2024-04-19,2.0,25.98,Tarjeta Crédito
TXN-01299,CLI-0192,PRD-006,2024-04-19,1.0,249.99,Transferencia
TXN-01827,CLI-0017,PRD-011,2024-04-20,4.0,51.96,Tarjeta Débito
TXN-00742,CLI-0061,PRD-015,2024-04-20,3.0,1199.97,Transferencia
TXN-02630,CLI-0026,PRD-003,2024-04-20,1.0,29.99,Transferencia
TXN-01377,CLI-0036,PRD-010,2024-04-20,1.0,34.99,Transferencia
TXN-00186,CLI-0146,PRD-003,2024-04-20,3.0,89.97,Tarjeta Crédito
TXN-00718,CLI-0087,PRD-011,2024-04-20,1.0,12.99,Transferencia
TXN-00192,CLI-0012,PRD-014,2024-04-20,2.0,69.98,Transferencia
TXN-00040,CLI-0007,PRD-008,2024-04-21,3.0,119.97,Tarjeta Débito
TXN-02909,CLI-0090,PRD-016,2024-04-21,4.0,1199.96,Tarjeta Crédito
TXN-01565,CLI-0012,PRD-001,2024-04-21,5.0,6499.95,Tarjeta Débito
TXN-00060,CLI-0089,PRD-021,2024-04-21,2.0,49.98,Transferencia
TXN-01064,CLI-0180,PRD-011,2024-04-21,1.0,12.99,Tarjeta Crédito
TXN-02847,CLI-0025,PRD-024,2024-04-22,3.0,89.97,Tarjeta Débito
TXN-01446,CLI-0084,PRD-004,2024-04-22,1.0,89.99,Efectivo
TXN-01728,CLI-0122,PRD-007,2024-04-22,2.0,119.98,Transferencia
TXN-02054,CLI-0120,PRD-014,2024-04-23,3.0,104.97,PayPal
TXN-01484,CLI-0136,PRD-009,2024-04-23,2.0,149.98,PayPal
TXN-01116,CLI-0145,PRD-003,2024-04-23,1.0,29.99,Tarjeta Crédito
TXN-00004,CLI-0115,PRD-005,2024-04-23,1.0,449.99,Efectivo
TXN-01839,CLI-0199,PRD-002,2024-04-23,1.0,699.99,Tarjeta Crédito
TXN-00861,CLI-0062,PRD-023,2024-04-23,2.0,699.98,Tarjeta Crédito
TXN-02781,CLI-0048,PRD-021,2024-04-23,1.0,24.99,Transferencia
TXN-01649,CLI-0190,PRD-003,2024-04-23,5.0,149.95,Transferencia
TXN-00592,CLI-0073,PRD-005,2024-04-23,1.0,449.99,Tarjeta Crédito
TXN-02062,CLI-0106,PRD-014,2024-04-23,1.0,34.99,Tarjeta Débito
TXN-00615,CLI-0122,PRD-003,2024-04-23,4.0,119.96,Tarjeta Crédito
TXN-01537,CLI-0198,PRD-003,2024-04-23,1.0,29.99,PayPal
TXN-00178,CLI-0134,PRD-018,2024-04-24,4.0,59.96,Tarjeta Débito
TXN-00665,CLI-0006,PRD-010,2024-04-24,3.0,104.97,Tarjeta Crédito
TXN-02388,CLI-0199,PRD-021,2024-04-24,1.0,24.99,Tarjeta Crédito
TXN-02762,CLI-0095,PRD-016,2024-04-24,2.0,599.98,PayPal
TXN-00291,CLI-0016,PRD-014,2024-04-25,2.0,69.98,Transferencia
TXN-00762,CLI-0190,PRD-018,2024-04-25,1.0,14.99,Tarjeta Crédito
TXN-02652,CLI-0106,PRD-016,2024-04-25,1.0,299.99,Tarjeta Débito
TXN-02865,CLI-0035,PRD-018,2024-04-25,2.0,,Tarjeta Crédito
TXN-02044,CLI-0120,PRD-014,2024-04-25,5.0,174.95,Tarjeta Crédito
TXN-01314,CLI-0072,PRD-013,2024-04-25,5.0,224.95,Tarjeta Crédito
TXN-01594,CLI-0171,PRD-003,2024-04-25,2.0,59.98,PayPal
TXN-00411,CLI-0126,PRD-019,2024-04-25,1.0,109.99,PayPal
TXN-01125,CLI-0017,PRD-019,2024-04-25,5.0,549.95,Tarjeta Crédito
TXN-00691,CLI-0054,PRD-003,2024-04-25,5.0,149.95,Tarjeta Débito
TXN-01818,CLI-0019,PRD-012,2024-04-25,1.0,19.99,Transferencia
TXN-00729,CLI-0127,PRD-005,2024-04-26,3.0,1349.97,PayPal
TXN-01366,CLI-0127,PRD-018,2024-04-26,2.0,29.98,Tarjeta Débito
TXN-01853,CLI-0152,PRD-016,2024-04-26,2.0,599.98,Transferencia
TXN-01856,CLI-0146,PRD-019,2024-04-26,3.0,329.97,Tarjeta Crédito
TXN-00228,CLI-0093,PRD-019,2024-04-26,5.0,549.95,Tarjeta Crédito
TXN-00533,CLI-0070,PRD-021,2024-04-26,2.0,49.98,Efectivo
TXN-02718,CLI-0186,PRD-008,2024-04-26,2.0,79.98,Transferencia
TXN-01274,CLI-0134,PRD-005,2024-04-26,4.0,1799.96,Tarjeta Crédito
TXN-00738,CLI-0116,PRD-005,2024-04-26,3.0,1349.97,Transferencia
TXN-02973,CLI-0032,PRD-012,2024-04-26,1.0,19.99,Transferencia
TXN-01463,CLI-0194,PRD-006,2024-04-26,2.0,499.98,Tarjeta Crédito
TXN-02644,CLI-0016,PRD-001,2024-04-26,3.0,3899.97,Tarjeta Crédito
TXN-00882,CLI-0098,PRD-007,2024-04-26,4.0,239.96,Tarjeta Crédito
TXN-00326,CLI-0197,PRD-007,2024-04-26,5.0,299.95,Efectivo
TXN-02103,CLI-0114,PRD-007,2024-04-26,5.0,299.95,Tarjeta Crédito
TXN-00988,CLI-0162,PRD-001,2024-04-26,3.0,3899.97,Tarjeta Débito
TXN-00841,CLI-0071,PRD-010,2024-04-26,4.0,139.96,Tarjeta Crédito
TXN-02275,CLI-0109,PRD-006,2024-04-26,1.0,249.99,Tarjeta Débito
TXN-02885,CLI-0076,PRD-014,2024-04-26,1.0,34.99,Tarjeta Crédito
TXN-00719,CLI-0041,PRD-018,2024-04-26,1.0,14.99,Transferencia
TXN-00180,CLI-0044,PRD-018,2024-04-27,2.0,29.98,Tarjeta Crédito
TXN-01244,CLI-0126,PRD-003,2024-04-27,2.0,,Tarjeta Débito
TXN-01428,CLI-0170,PRD-008,2024-04-27,4.0,159.96,Transferencia
TXN-00932,CLI-0169,PRD-012,2024-04-27,1.0,19.99,Transferencia
TXN-00829,CLI-0107,PRD-019,2024-04-27,2.0,219.98,Tarjeta Débito
TXN-01979,CLI-0093,PRD-022,2024-04-27,4.0,359.96,Tarjeta Crédito
TXN-01794,CLI-0128,PRD-009,2024-04-28,2.0,149.98,Tarjeta Débito
TXN-02620,CLI-0115,PRD-013,2024-04-28,2.0,89.98,Tarjeta Crédito
TXN-00677,CLI-0026,PRD-006,2024-04-28,5.0,1249.95,Tarjeta Crédito
TXN-01303,CLI-0023,PRD-009,2024-04-28,1.0,74.99,Tarjeta Débito
TXN-00127,CLI-0171,PRD-002,2024-04-28,1.0,699.99,Tarjeta Débito
TXN-01381,CLI-0086,PRD-014,2024-04-28,5.0,174.95,Tarjeta Crédito
TXN-01729,CLI-0138,PRD-007,2024-04-28,2.0,119.98,Tarjeta Crédito
TXN-00868,CLI-0013,PRD-007,2024-04-28,1.0,59.99,PayPal
TXN-00007,CLI-0043,PRD-003,2024-04-28,5.0,149.95,Tarjeta Crédito
TXN-02817,CLI-0194,PRD-011,2024-04-28,4.0,51.96,Transferencia
TXN-02922,CLI-0145,PRD-010,2024-04-28,1.0,34.99,Efectivo
TXN-00692,CLI-0184,PRD-003,2024-04-29,1.0,29.99,Tarjeta Crédito
TXN-01989,CLI-0017,PRD-004,2024-04-29,4.0,359.96,Tarjeta Crédito
TXN-01333,CLI-0010,PRD-018,2024-04-29,,29.98,Tarjeta Débito
TXN-00158,CLI-0176,PRD-025,2024-04-30,1.0,9.99,Tarjeta Crédito
TXN-01693,CLI-0186,PRD-021,2024-04-30,1.0,24.99,Tarjeta Crédito
TXN-01425,CLI-0074,PRD-014,2024-04-30,5.0,174.95,Transferencia
TXN-00730,CLI-0176,PRD-019,2024-04-30,1.0,109.99,Tarjeta Crédito
TXN-00057,CLI-0088,PRD-025,2024-04-30,1.0,9.99,Tarjeta Crédito
TXN-01692,CLI-0159,PRD-011,2024-04-30,3.0,38.97,PayPal
TXN-00746,CLI-0124,PRD-006,2024-04-30,3.0,749.97,Tarjeta Débito
TXN-01543,CLI-0189,PRD-004,2024-05-01,3.0,269.97,Tarjeta Crédito
TXN-00135,CLI-0152,PRD-003,2024-05-01,2.0,59.98,Tarjeta Débito
TXN-02070,CLI-0066,PRD-012,2024-05-01,3.0,59.97,Transferencia
TXN-02228,CLI-0144,PRD-020,2024-05-01,4.0,63.96,Transferencia
TXN-02738,CLI-0197,PRD-016,2024-05-01,1.0,299.99,Tarjeta Crédito
TXN-01323,CLI-0119,PRD-003,2024-05-01,4.0,119.96,Tarjeta Crédito
TXN-02064,CLI-0162,PRD-003,2024-05-01,2.0,59.98,Efectivo
TXN-02534,CLI-0032,PRD-018,2024-05-01,3.0,44.97,Transferencia
TXN-00525,CLI-0146,PRD-005,2024-05-01,5.0,2249.95,Transferencia
TXN-00523,CLI-0104,PRD-016,2024-05-01,2.0,599.98,Tarjeta Crédito
TXN-00941,CLI-0017,PRD-009,2024-05-01,4.0,299.96,Tarjeta Crédito
TXN-01065,CLI-0006,PRD-011,2024-05-02,2.0,25.98,Tarjeta Crédito
TXN-00892,CLI-0193,PRD-013,2024-05-02,3.0,134.97,Transferencia
TXN-00018,CLI-0154,PRD-014,2024-05-02,4.0,139.96,Efectivo
TXN-01542,CLI-0026,PRD-007,2024-05-02,1.0,59.99,Transferencia
TXN-00367,CLI-0114,PRD-005,2024-05-02,1.0,449.99,Tarjeta Crédito
TXN-02287,CLI-0166,PRD-006,2024-05-02,1.0,249.99,Transferencia
TXN-00266,CLI-0083,PRD-012,2024-05-02,1.0,19.99,Tarjeta Crédito
TXN-00046,CLI-0140,PRD-001,2024-05-03,1.0,1299.99,Tarjeta Débito
TXN-00598,CLI-0023,PRD-007,2024-05-03,1.0,59.99,Tarjeta Crédito
TXN-01075,CLI-0074,PRD-023,2024-05-03,5.0,1749.95,Tarjeta Crédito
TXN-01358,CLI-0098,PRD-006,2024-05-03,1.0,249.99,Tarjeta Débito
TXN-01159,CLI-0009,PRD-016,2024-05-03,2.0,599.98,Tarjeta Débito
TXN-00197,CLI-0137,PRD-014,2024-05-03,1.0,34.99,Tarjeta Crédito
TXN-00338,CLI-0063,PRD-019,2024-05-03,1.0,109.99,Tarjeta Débito
TXN-00052,CLI-0051,PRD-014,2024-05-03,1.0,34.99,PayPal
TXN-02802,CLI-0127,PRD-001,2024-05-03,1.0,1299.99,Transferencia
TXN-00030,CLI-0113,PRD-004,2024-05-03,3.0,269.97,Transferencia
TXN-00425,CLI-0085,PRD-014,2024-05-03,1.0,34.99,PayPal
TXN-02342,CLI-0116,PRD-010,2024-05-04,2.0,69.98,Transferencia
TXN-00858,CLI-0183,PRD-007,2024-05-04,4.0,239.96,Tarjeta Débito
TXN-02507,CLI-0114,PRD-009,2024-05-04,1.0,74.99,PayPal
TXN-01460,CLI-0180,PRD-001,2024-05-04,4.0,5199.96,Tarjeta Crédito
TXN-01434,CLI-0057,PRD-009,2024-05-04,2.0,149.98,Tarjeta Crédito
TXN-00622,CLI-0099,PRD-015,2024-05-04,1.0,399.99,Tarjeta Débito
TXN-02033,CLI-0140,PRD-017,2024-05-04,1.0,549.99,Tarjeta Crédito
TXN-02139,CLI-0094,PRD-001,2024-05-05,5.0,6499.95,Tarjeta Crédito
TXN-01487,CLI-0112,PRD-018,2024-05-05,2.0,29.98,Tarjeta Débito
TXN-01831,CLI-0063,PRD-006,2024-05-05,5.0,1249.95,Tarjeta Crédito
TXN-00680,CLI-0126,PRD-008,2024-05-05,1.0,39.99,Tarjeta Crédito
TXN-02231,CLI-0180,PRD-008,2024-05-05,2.0,79.98,Tarjeta Crédito
TXN-02067,CLI-0031,PRD-003,2024-05-05,2.0,59.98,Tarjeta Crédito
TXN-01003,CLI-0150,PRD-004,2024-05-06,3.0,269.97,Transferencia
TXN-02595,CLI-0049,PRD-007,2024-05-06,5.0,299.95,Tarjeta Crédito
TXN-00693,CLI-0103,PRD-013,2024-05-06,1.0,44.99,PayPal
TXN-00460,CLI-0091,PRD-011,2024-05-06,5.0,64.95,Tarjeta Crédito
TXN-02734,CLI-0139,PRD-012,2024-05-06,4.0,79.96,PayPal
TXN-01179,CLI-0161,PRD-012,2024-05-06,1.0,19.99,Tarjeta Crédito
TXN-02087,CLI-0151,PRD-006,2024-05-06,2.0,499.98,Transferencia
TXN-02810,CLI-0069,PRD-004,2024-05-06,1.0,89.99,Transferencia
TXN-00757,CLI-0050,PRD-025,2024-05-06,1.0,9.99,Efectivo
TXN-01720,CLI-0034,PRD-022,2024-05-06,1.0,89.99,Efectivo
TXN-01318,CLI-0166,PRD-003,2024-05-06,1.0,29.99,Tarjeta Crédito
TXN-00811,CLI-0085,PRD-002,2024-05-07,3.0,2099.97,Tarjeta Crédito
TXN-02354,CLI-0035,PRD-020,2024-05-07,1.0,15.99,Tarjeta Crédito
TXN-01206,CLI-0025,PRD-014,2024-05-07,2.0,69.98,Tarjeta Crédito
TXN-01445,CLI-0161,PRD-008,2024-05-07,4.0,159.96,Transferencia
TXN-01735,CLI-0149,PRD-004,2024-05-08,3.0,269.97,PayPal
TXN-00660,CLI-0155,PRD-011,2024-05-08,4.0,51.96,PayPal
TXN-01772,CLI-0129,PRD-006,2024-05-08,3.0,749.97,Tarjeta Débito
TXN-00079,CLI-0111,PRD-014,2024-05-08,1.0,34.99,Tarjeta Débito
TXN-01371,CLI-0139,PRD-006,2024-05-08,2.0,499.98,PayPal
TXN-02418,CLI-0181,PRD-007,2024-05-08,2.0,119.98,Tarjeta Crédito
TXN-00015,CLI-0012,PRD-009,2024-05-09,1.0,74.99,Tarjeta Débito
TXN-01815,CLI-0087,PRD-016,2024-05-09,2.0,599.98,Tarjeta Crédito
TXN-01504,CLI-0082,PRD-018,2024-05-09,4.0,59.96,Transferencia
TXN-01311,CLI-0017,PRD-007,2024-05-10,3.0,179.97,Transferencia
TXN-00152,CLI-0004,PRD-006,2024-05-10,1.0,249.99,Transferencia
TXN-01047,CLI-0034,PRD-009,2024-05-10,5.0,374.95,Transferencia
TXN-02345,CLI-0046,PRD-005,2024-05-10,1.0,449.99,PayPal
TXN-00813,CLI-0094,PRD-012,2024-05-10,1.0,19.99,Transferencia
TXN-00962,CLI-0179,PRD-008,2024-05-10,1.0,39.99,Tarjeta Crédito
TXN-02813,CLI-0011,PRD-001,2024-05-10,2.0,2599.98,Tarjeta Crédito
TXN-00415,CLI-0016,PRD-012,2024-05-10,4.0,79.96,Tarjeta Débito
TXN-01331,CLI-0034,PRD-003,2024-05-11,5.0,149.95,PayPal
TXN-00795,CLI-0084,PRD-003,2024-05-11,3.0,89.97,Tarjeta Crédito
TXN-01056,CLI-0031,PRD-006,2024-05-11,2.0,499.98,Tarjeta Crédito
TXN-02009,CLI-0068,PRD-013,2024-05-11,4.0,179.96,Tarjeta Crédito
TXN-02009,CLI-0094,PRD-002,2024-05-12,2.0,1399.98,Efectivo
TXN-02921,CLI-0021,PRD-003,2024-05-12,4.0,119.96,Efectivo
TXN-00448,CLI-0088,PRD-015,2024-05-12,1.0,399.99,Tarjeta Crédito
TXN-01999,CLI-0003,PRD-004,2024-05-12,4.0,359.96,Transferencia
TXN-01620,CLI-0163,PRD-007,2024-05-12,1.0,59.99,Tarjeta Crédito
TXN-01222,CLI-0090,PRD-007,2024-05-13,3.0,179.97,PayPal
TXN-01324,CLI-0014,PRD-010,2024-05-13,1.0,34.99,Transferencia
TXN-02585,CLI-0003,PRD-007,2024-05-13,2.0,119.98,Tarjeta Crédito
TXN-02383,CLI-0101,PRD-006,2024-05-14,4.0,999.96,PayPal
TXN-01975,CLI-0074,PRD-010,2024-05-14,3.0,104.97,Tarjeta Débito
TXN-01929,CLI-0166,PRD-002,2024-05-14,5.0,3499.95,Tarjeta Crédito
TXN-00627,CLI-0192,PRD-010,2024-05-14,5.0,174.95,Tarjeta Crédito
TXN-00998,CLI-0178,PRD-005,2024-05-14,1.0,449.99,Tarjeta Crédito
TXN-02204,CLI-0002,PRD-011,2024-05-14,1.0,12.99,Tarjeta Crédito
TXN-00476,CLI-0092,PRD-002,2024-05-14,3.0,2099.97,Tarjeta Débito
TXN-01068,CLI-0071,PRD-005,2024-05-14,1.0,449.99,Tarjeta Crédito
TXN-01717,CLI-0172,PRD-012,2024-05-14,1.0,19.99,Tarjeta Débito
TXN-02819,CLI-0161,PRD-003,2024-05-14,1.0,29.99,Tarjeta Crédito
TXN-00736,CLI-0190,PRD-003,2024-05-14,4.0,119.96,Tarjeta Crédito
TXN-00991,CLI-0078,PRD-015,2024-05-15,2.0,799.98,Tarjeta Crédito
TXN-00247,CLI-0009,PRD-013,2024-05-15,1.0,44.99,Transferencia
TXN-00023,CLI-0098,PRD-018,2024-05-15,4.0,59.96,Tarjeta Crédito
TXN-00350,CLI-0154,PRD-002,2024-05-15,2.0,1399.98,Tarjeta Crédito
TXN-02400,CLI-0035,PRD-010,2024-05-15,5.0,174.95,Transferencia
TXN-01610,CLI-0025,PRD-006,2024-05-15,1.0,249.99,Tarjeta Crédito
TXN-01727,CLI-0197,PRD-008,2024-05-15,2.0,79.98,Transferencia
TXN-02341,CLI-0117,PRD-002,2024-05-15,,699.99,Transferencia
TXN-01158,CLI-0108,PRD-021,2024-05-15,4.0,99.96,Efectivo
